Name,X,Y,Lon,Lat,Color,Label,Desc,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,fai,ndvi
pin_73,2345.5,5728.5,106.1309424,11.23982755,"java.awt.Color[r=0,g=0,b=255]",WH,,0.1568,0.1304,0.121,0.0967,0.0994,0.1232,0.1478,0.1445,0.1359,0.0145,0.0398,0.0172,0.058457464,0.1981758
pin_74,2345.5,5727.5,106.1309427,11.23991797,"java.awt.Color[r=0,g=0,b=255]",WH,,0.1568,0.1275,0.1213,0.0956,0.0986,0.1167,0.1361,0.1601,0.1295,0.0145,0.0384,0.0172,0.07521365,0.2522487
pin_75,2318.5,5734.5,106.1284672,11.2392944,"java.awt.Color[r=0,g=0,b=255]",WH,,0.1547,0.1247,0.117,0.0898,0.0998,0.1303,0.1516,0.1726,0.1505,0.0169,0.0455,0.0191,0.09109746,0.31554878
pin_76,2329.5,5732.5,106.1294755,11.23947143,"java.awt.Color[r=0,g=0,b=255]",WH,,0.1527,0.1289,0.1206,0.0916,0.0988,0.135,0.1591,0.1566,0.1553,0.0231,0.05,0.0215,0.07279174,0.26188555
pin_77,2326.5,5729.5,106.1292017,11.23974373,"java.awt.Color[r=0,g=0,b=255]",WH,,0.1571,0.1288,0.1206,0.0959,0.0989,0.1177,0.1482,0.146,0.1158,0.0142,0.0354,0.0148,0.061431743,0.20711038
pin_78,2291.5,5739.5,106.1259924,11.23885166,"java.awt.Color[r=0,g=0,b=255]",WH,,0.1533,0.1234,0.115,0.0854,0.1007,0.1521,0.1805,0.2085,0.1694,0.0195,0.0511,0.023,0.12952444,0.41884995
pin_79,2290.5,5739.5,106.1259008,11.23885201,"java.awt.Color[r=0,g=0,b=255]",WH,,0.1533,0.1229,0.1165,0.0861,0.1007,0.1521,0.1805,0.2012,0.1694,0.0195,0.0511,0.023,0.12165555,0.4006265
pin_80,2288.5,5740.5,106.1257173,11.23876228,"java.awt.Color[r=0,g=0,b=255]",WH,,0.1533,0.1212,0.1162,0.0836,0.1009,0.1687,0.1833,0.2093,0.2039,0.0195,0.0621,0.0269,0.12972698,0.4291567
pin_81,2263.5,5727.5,106.1234319,11.2399464,"java.awt.Color[r=0,g=0,b=255]",WH,,0.1559,0.1302,0.1232,0.1014,0.1,0.1124,0.1351,0.1408,0.118,0.0146,0.0312,0.0141,0.05254857,0.16267546
pin_82,2158.5,5636.5,106.113846,11.24821089,"java.awt.Color[r=0,g=0,b=255]",WH,,0.155,0.1245,0.118,0.083,0.1039,0.1551,0.1824,0.1996,0.1745,0.0191,0.0546,0.0214,0.121919364,0.41259733
pin_83,2150.5,5642.5,106.1131111,11.2476711,"java.awt.Color[r=0,g=0,b=255]",WH,,0.1539,0.125,0.1167,0.0851,0.104,0.1749,0.2063,0.2016,0.1926,0.0192,0.0559,0.0246,0.12196921,0.40634808
pin_84,2166.5,5634.5,106.1145795,11.24838898,"java.awt.Color[r=0,g=0,b=255]",WH,,0.1558,0.1275,0.1212,0.094,0.1026,0.1375,0.1506,0.1611,0.1549,0.0197,0.0429,0.0191,0.076671116,0.26303414
pin_85,2164.5,5633.5,106.1143966,11.24848009,"java.awt.Color[r=0,g=0,b=255]",WH,,0.1565,0.1301,0.1238,0.1005,0.1009,0.1179,0.1327,0.1254,0.134,0.015,0.0374,0.0167,0.036718734,0.110225774
pin_86,2163.5,5634.5,106.1143047,11.24839001,"java.awt.Color[r=0,g=0,b=255]",WH,,0.1554,0.1259,0.1201,0.091,0.1029,0.148,0.183,0.1736,0.1695,0.019,0.0535,0.0205,0.08962382,0.31216934
